reg0,reg1
55,54
9,68
65,73
184,0
114,223
120,72
57,223
91,148
201,187
164,251
255,226
46,207
163,56
243,141
128,134
226,186
238,67
114,27
52,124
169,151
240,237
24,97
22,29
231,132
93,88
27,13
106,43
193,122
83,63
33,232
188,115
36,119
195,35
78,146
228,239
219,180
196,128
222,198
64,29
234,81
187,248
26,173
190,5
85,131
210,36
226,19
99,233
193,54
97,151
25,76
160,107
250,147
237,107
45,242
135,9
27,160
3,245
68,190
251,62
186,87
17,62
125,78
141,193
146,97
163,196
234,176
181,58
156,198
204,223
39,204
100,39
59,158
20,78
30,224
131,19
190,153
50,255
5,189
206,253
13,254
168,153
135,52
15,238
47,77
157,240
241,89
10,17
251,6
102,41
5,237
234,135
145,41
64,126
144,207
39,102
193,95
76,174
83,223
56,165
234,41
243,137
76,245
71,159
168,137
115,40
156,20
22,84
25,124
171,144
32,186
101,78
50,92
27,29
227,91
80,66
38,146
76,126
164,24
65,117
169,81
26,239
31,72
46,183
2,248
148,98
194,230
69,66
181,90
220,162
44,46
133,223
216,205
139,92
224,161
236,77
117,208
235,10
214,105
214,110
110,174
52,243
127,90
244,222
176,1
9,242
166,19
103,194
239,52
248,141
94,73
77,230
236,58
190,93
62,73
254,5
253,223
120,140
244,79
120,46
246,199
58,240
4,227
87,125
66,216
176,204
63,153
40,184
196,76
243,109
228,75
130,88
92,243
176,162
171,95
254,43
141,252
206,12
138,150
209,5
170,186
187,172
138,128
3,59
60,245
135,79
254,188
241,45
21,215
245,21
215,4
255,210
225,174
239,210
136,36
66,147
196,15
34,12
115,14
17,253
73,3
122,159
216,33
162,239
4,33
121,74
183,182
31,101
181,85
11,13
133,156
236,153
179,193
118,70
13,202
78,30
45,244
96,65
135,73
155,73
135,121
185,35
238,23
190,166
92,243
66,118
189,27
96,123
5,176
250,170
189,201
127,107
67,4
59,6
193,154
204,18
190,94
93,205
239,15
87,49
8,150
120,71
68,230
190,60
156,104
102,156
228,16
66,228
150,204
183,242
35,16
139,223
204,175
73,81
19,181
100,122
232,220
184,40
121,163
183,166
157,86
145,35
73,124
172,48
87,138
118,130
135,87
215,181
219,199
202,38
249,50
14,254
104,30
15,169
15,93
107,48
49,76
233,69
140,140
27,104
126,69
194,185
116,15
111,98
241,103
35,113
174,241
86,120
240,54
250,99
188,80
61,82
139,56
130,238
71,187
44,221
193,177
103,154
120,164
198,207
44,110
232,204
25,4
170,251
140,219
117,75
115,201
144,34
103,141
53,87
219,61
3,111
118,179
147,236
22,68
107,1
169,75
163,144
190,105
48,229
91,114
194,63
78,181
174,10
151,206
73,167
18,110
172,82
169,246
1,60
230,90
62,157
216,236
47,49
200,18
43,247
126,107
239,82
231,192
169,122
168,32
208,255
176,106
186,91
226,51
176,149
218,143
212,163
203,203
171,193
47,185
208,65
110,137
225,38
123,41
167,37
46,184
197,186
2,100
98,16
231,233
94,163
16,105
194,29
70,108
61,40
122,91
248,62
140,84
238,21
226,92
221,218
247,189
89,210
176,154
200,17
114,31
146,133
30,45
216,54
205,115
249,66
160,242
22,241
10,155
142,223
41,234
42,141
168,61
236,239
99,15
197,5
210,246
35,224
129,184
116,139
72,78
3,254
208,224
150,156
42,23
242,151
38,101
166,129
49,27
230,34
42,189
79,181
223,136
99,57
221,88
76,246
173,37
230,241
239,9
167,147
232,112
225,84
198,199
204,42
125,170
186,70
128,103
252,36
56,133
200,8
0,238
139,16
219,13
235,169
241,104
100,45
164,254
236,44
59,79
84,14
15,177
85,33
48,207
76,129
49,106
45,57
48,204
70,102
25,76
231,254
10,14
193,250
144,242
132,178
69,243
217,40
12,195
161,82
232,240
228,236
17,65
14,218
81,104
222,58
114,212
30,133
2,164
217,112
31,239
54,230
158,95
149,103
0,252
26,38
160,135
126,203
143,146
183,135
149,87
113,46
215,253
45,64
71,170
72,241
44,202
57,203
123,123
148,63
61,157
160,116
152,172
152,246
219,83
86,31
56,203
58,218
195,221
114,96
253,119
88,89
195,19
199,198
130,234
240,33
106,26
41,176
155,21
212,66
14,32
178,215
57,65
218,209
193,229
27,142
121,244
92,23
124,38
22,60
204,12
124,165
109,43
236,153
194,198
126,230
194,79
70,113
200,67
30,38
92,36
3,146
188,38
121,104
247,233
181,74
91,136
18,203
47,115
210,115
112,123
21,16
228,16
109,203
91,164
208,197
125,203
247,103
149,68
229,50
73,72
86,21
29,8
162,111
11,141
48,214
244,141
251,1
174,205
114,202
90,226
193,215
82,102
58,24
149,12
91,197
111,120
109,44
92,54
166,181
119,254
84,95
112,166
187,49
24,6
59,228
52,13
16,141
243,50
149,234
204,64
94,161
208,28
109,207
115,245
10,169
35,79
147,32
158,244
25,45
100,222
148,194
98,111
237,203
114,7
17,56
58,206
171,75
146,111
227,190
45,84
81,157
38,198
121,182
225,196
93,56
239,243
94,165
73,26
217,165
178,124
95,181
116,203
254,211
107,8
93,95
11,82
216,50
108,78
8,57
228,210
77,56
28,93
97,174
204,112
144,78
212,10
140,206
120,107
115,68
140,219
177,198
98,48
69,152
54,54
112,118
5,47
4,135
174,100
35,40
209,134
180,71
154,26
64,26
168,216
141,11
223,237
240,211
188,124
94,191
152,94
169,228
166,220
113,89
91,10
253,23
200,244
24,29
152,145
166,156
247,78
100,243
175,160
241,219
31,103
204,28
190,32
156,59
34,219
152,111
26,187
10,9
242,9
233,166
97,53
65,142
240,230
106,216
88,49
109,147
107,44
100,145
126,58
173,146
13,5
239,200
215,196
254,144
168,3
154,69
99,97
164,53
5,110
113,1
165,224
158,184
133,248
197,210
85,95
130,140
32,18
239,81
11,197
122,215
55,90
248,32
232,112
192,117
197,105
236,56
203,156
149,202
150,37
227,93
212,25
33,229
146,182
125,55
137,167
223,207
37,113
89,119
189,60
111,126
232,170
24,8
248,26
149,194
133,115
202,97
142,144
96,222
127,10
64,42
34,216
32,159
164,3
182,211
157,185
