reg0,reg1
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
50,150
150,50
